project,current_path,type,proposed_category,proposed_destination,reason,confidence,safe_to_move,manual_review_required
TQQQ Kelly,.state,dir,GIT_IGNORE_ONLY,,local dependency/cache/archive/state directory; ignore for upload,high,false,true
TQQQ Kelly,archive,dir,GIT_IGNORE_ONLY,,local dependency/cache/archive/state directory; ignore for upload,high,false,false
TQQQ Kelly,cache,dir,GIT_IGNORE_ONLY,,local dependency/cache/archive/state directory; ignore for upload,high,false,false
TQQQ Kelly,__pycache__,dir,KEEP_REVIEW,,archive candidate is referenced by .gitignore; kept for review,low,false,true
TQQQ Kelly,.env,file,SENSITIVE_REVIEW,,sensitive filename pattern; do not upload unless explicitly reviewed,high,false,true
TQQQ Kelly,.gitignore,file,KEEP_CORE,,"dependency, config, or entrypoint",high,false,false
TQQQ Kelly,analyze_alpha_attribution.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,analyze_crash_caps.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,analyze_crash_head_performance.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,analyze_execution_vs_backtest.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,analyze_oos_segments.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,CLEANUP_DRY_RUN.md,file,KEEP_CORE,,migration audit report generated for GitHub readiness,high,false,false
TQQQ Kelly,cleanup_plan.csv,file,KEEP_CORE,,migration audit report generated for GitHub readiness,high,false,false
TQQQ Kelly,CLEANUP_SUMMARY.md,file,KEEP_CORE,,migration audit report generated for GitHub readiness,high,false,false
TQQQ Kelly,detect_lookahead_audit.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,GITHUB_READY_CHECKLIST.md,file,KEEP_CORE,,migration audit report generated for GitHub readiness,high,false,false
TQQQ Kelly,ib_paper_trader.py,file,KEEP_CORE,,"dependency, config, or entrypoint",high,false,false
TQQQ Kelly,keeper_single.csv,file,KEEP_REVIEW,,not clearly generated or safe to archive,medium,false,true
TQQQ Kelly,live_ma_executor.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,live_trader.yaml,file,SENSITIVE_REVIEW,,sensitive filename pattern; do not upload unless explicitly reviewed,high,false,true
TQQQ Kelly,ma_enhanced_tqqq.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
TQQQ Kelly,ma_grid_backtest.py,file,KEEP_REVIEW,,script may be useful but not confirmed as core,medium,false,true
